DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250529 233000,-0.000949,-0.000187,0.000225,40.693777,-6.218396,26.873800,12.951255,-0.370620,4.358899,0.831683,0.158416,0.250000,4.000000,21338.250000
20250529 234500,0.000234,0.000223,-0.000006,42.712974,2.019197,25.811386,12.947852,0.009654,2.003543,0.354167,0.604167,4.750000,3.000000,21343.250000
20250530 000000,0.000129,-0.000539,-0.000153,43.845404,1.132429,24.789144,12.738346,0.256116,1.109250,0.347826,0.804348,2.250000,5.250000,21346.000000
20250530 001500,0.000304,-0.000293,-0.000472,46.535606,2.690202,24.089920,12.414231,0.811569,1.427859,0.450000,0.900000,1.500000,6.750000,21352.500000
20250530 003000,-0.000222,-0.000503,-0.000279,44.844864,-1.690742,23.172782,11.800583,0.504212,0.737256,0.466667,0.244444,3.250000,2.750000,21347.750000
20250530 004500,-0.000691,-0.000246,0.000418,39.986517,-4.858347,22.731869,11.705040,-0.761424,0.906307,0.852941,0.058824,1.500000,1.000000,21333.000000
20250530 010000,0.000761,0.000281,-0.000268,46.821786,6.835269,22.572450,10.298938,0.555883,1.147956,0.756098,0.926829,1.500000,3.500000,21349.250000
20250530 011500,0.000726,0.000878,-0.000933,52.391745,5.569959,22.317275,11.214416,1.776731,2.037318,0.802632,0.894737,2.000000,1.750000,21364.750000
20250530 013000,0.000480,0.001053,-0.001341,55.696457,3.304712,22.383898,13.000066,2.204796,2.393991,0.430108,0.720430,6.500000,6.750000,21375.000000
20250530 014500,0.001741,0.003017,-0.002943,65.161076,9.464619,23.552906,19.353440,3.256527,2.858700,0.948387,1.000000,0.000000,2.000000,21412.250000
20250530 020000,-0.001157,0.002551,-0.001683,56.521163,-8.639913,23.888412,20.970884,1.716070,1.606940,0.873874,0.126126,0.000000,3.500000,21387.500000
20250530 021500,-0.000070,0.001720,-0.001451,56.036220,-0.484943,24.003526,20.683066,1.500624,1.300680,0.019608,0.529412,11.500000,13.500000,21386.000000
20250530 023000,-0.001345,-0.000351,-0.000035,47.605444,-8.430775,25.253274,19.606835,0.037614,1.948775,0.716867,0.126506,6.500000,5.250000,21357.250000
